company_id,type,rule_id,text,confidence_pct
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,95
GODREJCP,pro,FALLBACK_PRO,Available financial data did not trigger a specific predefined positive rule; company remains covered for further financial review,61
GRASIM,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95
GRASIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,81
HAL,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,92
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75
HAVELLS,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HCLTECH,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HDFCBANK,con,CON_01,Debt-to-equity ratio of 6.81 is elevated for a non-financial company and warrants monitoring,100
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,95
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,81
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,66
HDFCLIFE,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,91
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HINDALCO,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
HINDUNILVR,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
ICICIBANK,con,CON_01,Debt-to-equity ratio of 6.45 is elevated for a non-financial company and warrants monitoring,100
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,94
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,83
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
ICICIGI,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ICICIPRULI,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
INDIGO,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
INDIGO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
INDIGO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
INDUSINDBK,con,CON_01,Debt-to-equity ratio of 6.89 is elevated for a non-financial company and warrants monitoring,100
INDUSINDBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,99
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
INDUSINDBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83
INDUSINDBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,69
INDUSINDBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67
INDUSINDBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
INFY,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
INFY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
IOC,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
IOC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94
IOC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
IOC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,66
IOC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,65
IRCTC,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
IRCTC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
IRCTC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,96
IRCTC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92
IRCTC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,81
IRCTC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
IRCTC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
IRFC,con,CON_01,Debt-to-equity ratio of 8.38 is elevated for a non-financial company and warrants monitoring,100
IRFC,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
IRFC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,93
IRFC,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,83
IRFC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
IRFC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
IRFC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
IRFC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
IRFC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
ITC,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
ITC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ITC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ITC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74
JINDALSTEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,94
JINDALSTEL,pro,FALLBACK_PRO,Available financial data did not trigger a specific predefined positive rule; company remains covered for further financial review,61
JIOFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100
JIOFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
JIOFIN,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
JIOFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95
JSWENERGY,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,83
JSWENERGY,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,81
JSWENERGY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
JSWENERGY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,96
JSWENERGY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
JSWENERGY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,66
JSWSTEEL,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
JSWSTEEL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
KOTAKBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,92
KOTAKBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,88
KOTAKBANK,con,CON_01,Debt-to-equity ratio of 4.00 is elevated for a non-financial company and warrants monitoring,86
KOTAKBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,84
KOTAKBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
KOTAKBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84
KOTAKBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
KOTAKBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,66
LICI,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
LICI,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
LICI,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
LICI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
LICI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95
LODHA,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100
LODHA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
LODHA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66
LT,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
LT,pro,FALLBACK_PRO,Available financial data did not trigger a specific predefined positive rule; company remains covered for further financial review,61
LTIM,con,FALLBACK_CON,Available financial data did not trigger a specific predefined negative rule; company remains covered for further financial review,61
